Rejection_Rate,Date,Season_Year,County,#loads,Tomato_variety,Average_worm/insect_damage,Average_mold,Average_green,Average_material_other_than_tomatoes,Average_hue_loads,Average_hue,Average_color,Average_solids,Average_pH
0.0021602160216021,2016-09-03,2016,  FRESNO,140.0,"915-1175, HEINZ",0.0,1.4,2.9,0.3,121.5968847352025,19.085844195210672,24.9,5.48,4.47
0.0073499933181878,2018-09-01,2018,YOLO,117.0,"841-58841, HM",0.0,0.6,0.1,0.2,117.0,21.4,0.0,5.61,4.41
0.0011497857217518,2016-08-06,2016,  FRESNO,126.0,"292-1292, HZ",0.0,0.6,1.1,1.6,121.5968847352025,19.085844195210672,22.7,6.34,4.71
0.0001553277415346,2016-09-17,2016,  FRESNO,1.0,"163-8163, HMX",0.0,1.0,0.5,0.0,121.5968847352025,19.085844195210672,24.0,6.1,4.44
0.014092777451556,2019-09-14,2019,STANISLAUS,57.0,"98-9008, SVTM",0.0,0.7,0.8,0.2,57.0,21.3,0.0,5.37,4.31
0.0008019246190858,2011-07-30,2011,  KINGS,2.0,363  SUN 6363,0.0,3.3,0.0,0.0,121.5968847352025,19.085844195210672,24.0,5.35,4.51
0.0,2015-09-26,2015,  KINGS,64.0,"990-9905, HARRIS MORAN",0.0,0.1,1.2,0.7,121.5968847352025,19.085844195210672,24.2,5.51,4.36
0.0050341201476675,2009-09-12,2009,  FRESNO,207.0,276  NUNHEMS 672,0.0,5.4,3.4,0.8,121.5968847352025,19.085844195210672,22.5,5.54,4.53
0.0,2011-10-01,2011,  COLUSA,21.0,995  HEINZ 9995Cur Wk,0.0,2.9,0.5,0.4,121.5968847352025,19.085844195210672,24.2,5.45,4.54
0.0056555269922879,2009-09-12,2009,  SUTTER,276.0,368  SUN 6368Cur Wk,0.0,2.0,0.1,0.3,121.5968847352025,19.085844195210672,24.0,5.25,4.47
0.0,2019-08-03,2019,FRESNO,3.0,"710-5710, HZ",0.0,2.0,1.3,0.2,3.0,24.3,0.0,4.4,4.47
0.0020795916438226,2010-08-14,2010,  FRESNO,"6,835",102  AB 2,0.0,1.0,1.6,0.4,121.5968847352025,19.085844195210672,25.7,6.03,4.38
0.0,2018-07-14,2018,KERN,831.0,"366-6366, SUN",0.0,0.1,0.9,0.4,831.0,21.1,0.0,5.37,4.39
0.0006578947368421,2016-09-17,2016,  MADERA,109.0,"194-19406, UG",0.0,5.5,4.4,0.1,121.5968847352025,19.085844195210672,24.1,5.4,4.45
0.0115929583512237,2011-10-15,2011,  STANISLAUS,76.0,193  UNITED GENETICS 19306,0.0,2.5,0.4,0.7,121.5968847352025,19.085844195210672,21.8,5.73,4.33
0.0,2015-07-04,2015,  YOLO,50.0,"15-1015, HEINZ",0.0,0.4,1.5,0.1,121.5968847352025,19.085844195210672,25.4,5.41,4.41
0.0,2011-07-30,2011,  KERN,1.0,639  NUNHEMS 6394,0.0,0.5,0.0,0.0,121.5968847352025,19.085844195210672,22.0,7.0,4.45
0.0008187772925764,2013-10-05,2013,  SAN JOAQUIN,31.0,"69-1161, HEINZ",0.0,2.8,0.4,0.1,121.5968847352025,19.085844195210672,22.8,5.52,4.32
0.0003381805884342,2010-09-11,2010,  YOLO,66.0,82.0CXD 282,0.0,1.6,0.8,0.2,121.5968847352025,19.085844195210672,25.1,4.93,4.37
0.0063291139240506,2012-09-08,2012,  SUTTER,21.0,"849-849, HYPEEL",0.0,3.9,0.9,0.1,121.5968847352025,19.085844195210672,28.1,5.18,4.4
0.0018685767673621,2013-09-28,2013,  YOLO,42.0,"102-2, AB",0.0,4.4,0.3,1.0,121.5968847352025,19.085844195210672,25.1,5.01,4.36
0.0,2013-10-05,2013,  SACRAMENTO,76.0,"849-849, HYPEEL",0.0,2.6,1.3,1.0,121.5968847352025,19.085844195210672,28.2,4.79,4.27
0.0,2009-08-15,2009,  SUTTER,188.0,102  AB 2,0.0,1.5,1.4,0.7,121.5968847352025,19.085844195210672,25.3,5.69,4.44
0.0,2017-09-02,2017,KINGS,71.0,"841-58841, HMX",0.0,1.8,1.2,0.4,0.0,0.0,23.6,6.46,4.47
0.0013422818791946,2014-07-19,2014,  KERN,791.0,"366-6366, SUN",0.0,1.3,0.9,0.7,121.5968847352025,19.085844195210672,24.5,4.85,4.43
0.0,2013-09-21,2013,  STANISLAUS,1.0,"366-6366, SUN",0.0,2.0,0.5,0.5,121.5968847352025,19.085844195210672,24.0,5.7,4.37
0.0007272727272727,2017-09-02,2017,STANISLAUS,130.0,"111-0311, AB",0.0,3.0,2.3,0.2,0.0,0.0,22.8,6.06,4.4
0.0,2015-07-25,2015,  KERN,582.0,"509-66509, BOS",0.0,1.7,1.2,0.6,121.5968847352025,19.085844195210672,23.3,5.1,4.41
0.000126050420168,2012-08-04,2012,  FRESNO,4.0,"292-1292, HZ",0.0,0.5,0.1,0.1,121.5968847352025,19.085844195210672,22.0,5.85,4.47
0.0009114108640174,2015-10-03,2015,  FRESNO,9.0,"887-3887, HMX",0.0,1.1,2.7,1.2,121.5968847352025,19.085844195210672,25.4,5.6,4.21
0.0,2009-09-12,2009,  KINGS,2.0,61.0PX 1111,0.0,0.3,0.3,0.5,121.5968847352025,19.085844195210672,23.5,5.75,4.54
0.0008771929824561,2016-08-27,2016,  YOLO,32.0,577-HEINZ TRIAL,0.0,0.8,4.1,3.3,121.5968847352025,19.085844195210672,25.3,4.62,4.32
0.0,2014-10-18,2014,  SOLANO,166.0,"194-19406, UG",0.0,1.8,0.8,0.6,121.5968847352025,19.085844195210672,24.4,4.73,4.27
0.0001553277415346,2016-09-17,2016,  FRESNO,826.0,"241-2401, HEINZ",0.0,1.8,3.2,0.5,121.5968847352025,19.085844195210672,24.0,5.34,4.4
0.0003000300030003,2014-10-11,2014,  SAN JOAQUIN,213.0,"892-1892, HMX",0.0,1.9,0.6,0.2,121.5968847352025,19.085844195210672,23.2,5.21,4.36
0.0002267059623668,2011-07-23,2011,  KINGS,532.0,444  SEMINIS APT 410,0.0,0.5,0.5,0.3,121.5968847352025,19.085844195210672,25.0,5.13,4.41
0.0001599232368463,2019-08-03,2019,KINGS,139.0,"820-1082, SVTM",0.0,0.9,0.4,0.6,139.0,22.2,0.0,5.7,4.41
0.0007272727272727,2017-09-02,2017,STANISLAUS,96.0,"194-19406, UG",0.0,1.8,1.0,0.5,86.0,21.7,24.2,6.12,4.39
0.0020795916438226,2010-08-14,2010,  FRESNO,1.0,694  ORSETTI 6394Cur Wk,0.0,3.5,1.0,0.0,121.5968847352025,19.085844195210672,25.0,4.5,4.35
0.0,2014-09-27,2014,  SAN JOAQUIN,835.0,"85-8504, HEINZ",0.0,0.5,2.6,1.8,121.5968847352025,19.085844195210672,24.9,5.02,4.24
0.0020795916438226,2010-08-14,2010,  FRESNO,186.0,194  UNITED GENETICS UG 19406Cur Wk,0.0,0.4,1.3,0.4,121.5968847352025,19.085844195210672,25.8,6.01,4.33
0.0018685767673621,2013-09-28,2013,  YOLO,3.0,"502-205, BQ",0.0,4.2,0.3,0.3,121.5968847352025,19.085844195210672,25.3,4.63,4.34
0.0002840909090909,2013-08-24,2013,  YOLO,95.0,"42-6402, NUNHEMS",0.0,1.0,0.2,0.1,121.5968847352025,19.085844195210672,22.2,5.38,4.44
